date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:21:13	33917/33917	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Sep%202022%2015:28:56%20GMT	https://wiki.nanotech.ucsb.edu/wiki/Main_Page	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/Main_Page.html	(from )
04:21:13	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Sep%202022%2020:21:12%20GMT	https://wiki.nanotech.ucsb.edu/robots.txt		(from )
04:21:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Sep%202022%2020:21:12%20GMT	https://wiki.nanotech.ucsb.edu/wiki/skins.vector.legacy.js	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/skins.vector.legacy.js	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:14	16566/16566	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Sep%202022%2020:21:12%20GMT	https://wiki.nanotech.ucsb.edu/wiki/Skins.vector.legacy.js	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/Skins.vector.legacy.js	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:15	22578/22578	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2019:53:32%20GMT	https://wiki.nanotech.ucsb.edu/wiki/File:Arrowleft3.png	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/File_Arrowleft3.html	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:15	957/957	---M--	200	added ('OK')	image/png	etag:%223bd-5544850504abb%22	https://wiki.nanotech.ucsb.edu/w/images/thumb/7/71/Arrowleft3.png/40px-Arrowleft3.png	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/w/images/thumb/7/71/Arrowleft3.png/40px-Arrowleft3.png	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:16	26731/26731	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2019:53:32%20GMT	https://wiki.nanotech.ucsb.edu/wiki/COVID-19_User_Policies	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/COVID-19_User_Policies.html	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:16	56428/56428	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2019:53:32%20GMT	https://wiki.nanotech.ucsb.edu/wiki/Frequently_Asked_Questions	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/Frequently_Asked_Questions.html	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:17	164277/164277	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2019:53:32%20GMT	https://wiki.nanotech.ucsb.edu/wiki/Lab_Rules	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/Lab_Rules.html	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
04:21:17	25336/25336	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Sep%202022%2019:53:32%20GMT	https://wiki.nanotech.ucsb.edu/wiki/User:John_d	C:/My%20Websites/httpswiki.nanotech.ucsb/wiki.nanotech.ucsb.edu/wiki/User_John_d.html	(from https://wiki.nanotech.ucsb.edu/wiki/Main_Page)
